Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,0.0,206.0
2.,Skaslien/Nedregotten,Norway,0.0,188.8
3.,Walker/Muyres,Alberta,0.0,167.1
4.,Koana/Aoki,Japan,0.0,140.3
5.,Matsumura/Tanida,Japan,0.0,138.3
6.,Roenning/Braenden,Norway,0.0,126.9
7.,Lott/Lott,Manitoba,0.0,124.9
8.,Wrana/Wrana,Sweden,0.0,111.3
9.,Martin/Laycock,Saskatchewan,0.0,99.4
10.,Weagle/Epping,Ontario,0.0,97.3
11.,St-Georges/Asselin,Quebec,0.0,97.1
12.,Schwaller/Schwaller,Switzerland,0.0,95.1
13.,Cotter/Cotter,British Columbia,0.0,94.4
14.,Thiesse/Dropkin,Minnesota,0.0,91.9
15.,Jones/Laing,Ontario,0.0,88.5
16.,Perret/Rios,Switzerland,0.0,86.6
17.,Papley/Van Amsterdam,Alberta,0.0,86.3
18.,Kim/Jeong,Korea,0.0,86.3
19.,Reese-Hansen/Chester,British Columbia,0.0,85.1
20.,Gill/Hewitt,Australia,0.0,84.9
21.,Gionest/Desjardins,Quebec,0.0,84.5
22.,Zheng/Pietrangelo,Ontario,0.0,73.4
23.,Powers/Saunders,Nova Scotia,0.0,73.3
24.,Westman/Ahlberg,Sweden,0.0,71.9
25.,Hamilton/Hamilton,Wisconsin,0.0,70.9
26.,Gagne/Morissette,Quebec,0.0,70.3
27.,Sandham/Craig,Ontario,0.0,70.1
28.,Yang/Tian,China,0.0,69.6
29.,Peterman/Gallant,Alberta,0.0,68.8
30.,Wasylkiw/Konings,Ontario,0.0,67.3
31.,Armstrong/Griffith,British Columbia,0.0,64.9
32.,Anderson/Stopera,Minnesota,0.0,60.8
33.,Adams/Robichaud,New Brunswick,0.0,60.4
34.,Cheal/Cheal,Quebec,0.0,60.2
35.,Sluchinski/Sluchinski,Alberta,0.0,56.9
36.,Bouchard/Charest,Quebec,0.0,55.9
37.,Paulova/Paul,Czechia,0.0,55.3
38.,Abbes/Harsch,Germany,0.0,55.3
39.,Tremblay/Lanoue,Quebec,0.0,54.1
40.,Paetz/Michel,Switzerland,0.0,49.1
41.,Holterman/Holtermann,Denmark,0.0,48.9
42.,Tran/Kleiter,Alberta,0.0,48.2
43.,Walczak/Augustyniak,Poland,0.0,48.0
44.,Engler/Wunderlin,Switzerland,0.0,47.3
45.,Anderson-Heide/Richardson,Minnesota,0.0,45.1
46.,Otaegi/Unanue,Spain,0.0,43.9
47.,Han/Wang,China,0.0,42.7
48.,Laplante/Gibeau,Quebec,0.0,41.4
49.,Ueno/Yamaguchi,Japan,0.0,39.8
50.,Gamble/Kalthoff,Saskatchewan,0.0,38.6
51.,Immonen/Sipila,Finland,0.0,36.3
52.,Maheux/Maheux,Quebec,0.0,36.2
53.,Jackson/McFadzean,Great Britain,0.0,36.0
54.,Cottenoir/Martel,Quebec,0.0,35.9
55.,Sturmay/Kleibrink,Alberta,0.0,35.8
56.,Smith/Thomson,Ontario,0.0,35.4
57.,Geving/Shuster,Minnesota,0.0,35.3
58.,Farrell/Thurston,Minnesota,0.0,33.6
59.,Kaare/Padama,Estonia,0.0,33.3
60.,Mackenzie/Middleton,British Columbia,0.0,32.9
61.,Moores/Wheeler,Colorado,0.0,32.0
62.,Zelingrova/Chabicovsky,Czechia,0.0,31.4
63.,Persinger/Casper,Alaska,0.0,31.0
64.,Brunton/Horgan,Ontario,0.0,30.8
65.,Weeks/Steep,Ontario,0.0,29.6
66.,Neil/McDonald,Ontario,0.0,27.6
67.,Yildiz/Cakir,Turkiye,0.0,27.4
68.,Kreviazuk/Mathers,Ontario,0.0,26.3
69.,Schmiemann/Ginter,Alberta,0.0,26.3
70.,Spruit/Spruit,Ontario,0.0,24.8
71.,Riley/Mullen,Quebec,0.0,24.8
72.,Hueppi/Weiss,Switzerland,0.0,23.3
73.,Tuck/Tuck Jr.,Ontario,0.0,23.2
74.,Rhyme/Smith,Minnesota,0.0,23.1
75.,Schoell/Sutor,Germany,0.0,23.1
76.,Barber/Heidt,Saskatchewan,0.0,23.0
