Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,0.0,206.0
2.,Skaslien/Nedregotten,Norway,0.0,188.8
3.,Walker/Muyres,Alberta,0.0,167.1
4.,Koana/Aoki,Japan,0.0,140.3
5.,Matsumura/Tanida,Japan,0.0,138.3
6.,Lott/Lott,Manitoba,7.5,132.4
7.,Roenning/Braenden,Norway,0.0,126.9
8.,Wrana/Wrana,Sweden,0.0,111.3
9.,Martin/Laycock,Saskatchewan,0.0,99.4
10.,Weagle/Epping,Ontario,0.0,97.3
11.,St-Georges/Asselin,Quebec,0.0,97.1
12.,Schwaller/Schwaller,Switzerland,0.0,95.1
13.,Cotter/Cotter,British Columbia,0.0,94.4
14.,Thiesse/Dropkin,Minnesota,0.0,91.9
15.,Jones/Laing,Ontario,0.0,88.5
16.,Zheng/Pietrangelo,Ontario,15.0,88.4
17.,Perret/Rios,Switzerland,0.0,86.6
18.,Papley/Van Amsterdam,Alberta,0.0,86.3
19.,Kim/Jeong,Korea,0.0,86.3
20.,Reese-Hansen/Chester,British Columbia,0.0,85.1
21.,Gill/Hewitt,Australia,0.0,84.9
22.,Gionest/Desjardins,Quebec,0.0,84.5
23.,Anderson/Stopera,Minnesota,18.8,79.6
24.,Powers/Saunders,Nova Scotia,0.0,73.3
25.,Westman/Ahlberg,Sweden,0.0,71.9
26.,Hamilton/Hamilton,Wisconsin,0.0,70.9
27.,Gagne/Morissette,Quebec,0.0,70.3
28.,Sandham/Craig,Ontario,0.0,70.1
29.,Yang/Tian,China,0.0,69.6
30.,Peterman/Gallant,Alberta,0.0,68.8
31.,Wasylkiw/Konings,Ontario,0.0,67.3
32.,Armstrong/Griffith,British Columbia,0.0,64.9
33.,Adams/Robichaud,New Brunswick,0.0,60.4
34.,Cheal/Cheal,Quebec,0.0,60.2
35.,Sluchinski/Sluchinski,Alberta,0.0,56.9
36.,Bouchard/Charest,Quebec,0.0,55.9
37.,Abbes/Harsch,Germany,0.0,55.3
38.,Paulova/Paul,Czechia,0.0,55.3
39.,Anderson-Heide/Richardson,Minnesota,10.0,55.1
40.,Tremblay/Lanoue,Quebec,0.0,54.1
41.,Walczak/Augustyniak,Poland,1.7,49.7
42.,Paetz/Michel,Switzerland,0.0,49.1
43.,Holterman/Holtermann,Denmark,0.0,48.9
44.,Otaegi/Unanue,Spain,4.5,48.4
45.,Tran/Kleiter,Alberta,0.0,48.2
46.,Engler/Wunderlin,Switzerland,0.0,47.3
47.,Moores/Wheeler,Colorado,12.5,44.5
48.,Han/Wang,China,0.0,42.7
49.,Laplante/Gibeau,Quebec,0.0,41.4
50.,Ueno/Yamaguchi,Japan,0.0,39.8
51.,Immonen/Sipila,Finland,3.0,39.3
52.,Mackenzie/Middleton,British Columbia,6.0,38.9
53.,Gamble/Kalthoff,Saskatchewan,0.2,38.8
54.,Brunton/Horgan,Ontario,6.0,36.8
55.,Maheux/Maheux,Quebec,0.0,36.2
56.,Jackson/McFadzean,Great Britain,0.0,36.0
57.,Zelingrova/Chabicovsky,Czechia,4.5,35.9
58.,Cottenoir/Martel,Quebec,0.0,35.9
59.,Sturmay/Kleibrink,Alberta,0.0,35.8
60.,Smith/Thomson,Ontario,0.0,35.4
61.,Geving/Shuster,Minnesota,0.0,35.3
62.,Persinger/Casper,Alaska,3.8,34.8
63.,Farrell/Thurston,Minnesota,0.9,34.5
64.,Bear/Oldenburg,Minnesota,12.5,34.0
65.,Kaare/Padama,Estonia,0.0,33.3
66.,Weeks/Steep,Ontario,0.0,29.6
67.,Neil/McDonald,Ontario,0.0,27.6
68.,Yildiz/Cakir,Turkiye,0.0,27.4
69.,Homan/Bottcher,Alberta,7.5,27.0
70.,Schmiemann/Ginter,Alberta,0.0,26.3
71.,Kreviazuk/Mathers,Ontario,0.0,26.3
72.,Tiuliakova/Totzek,Germany,11.3,26.0
73.,Rhyme/Smith,Minnesota,2.8,25.9
74.,Spruit/Spruit,Ontario,0.0,24.8
75.,Riley/Mullen,Quebec,0.0,24.8
76.,Hueppi/Weiss,Switzerland,0.0,23.3
