Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,191.5,191.5
2.,Gill/Hewitt,Australia,162.3,162.3
3.,Skaslien/Nedregotten,Norway,159.4,159.4
4.,Koana/Aoki,Japan,129.6,129.6
5.,Dodds/Mouat,Great Britain,122.7,122.7
6.,Matsumura/Tanida,Japan,115.6,115.6
7.,Homan/Bottcher,Alberta,115.1,115.1
8.,Walker/Muyres,Alberta,105.5,105.5
9.,Peterman/Gallant,Alberta,97.5,97.5
10.,Perret/Rios,Switzerland,94.5,94.5
11.,Martin/Laycock,Saskatchewan,93.1,93.1
12.,Jones/Laing,Ontario,92.4,92.4
13.,Roenning/Braenden,Norway,90.6,90.6
14.,Sandham/Craig,Ontario,90.3,90.3
15.,Weagle/Epping,Ontario,88.3,88.3
16.,Thiesse/Dropkin,Minnesota,86.6,86.6
17.,Paetz/Michel,Switzerland,86.1,86.1
18.,Wasylkiw/Konings,Ontario,82.8,82.8
19.,Jackson/McFadzean,Great Britain,79.8,79.8
20.,Abbes/Harsch,Germany,79.5,79.5
21.,Engler/Wunderlin,Switzerland,78.5,78.5
22.,Zheng/Pietrangelo,Ontario,78.5,78.5
23.,Anderson/Stopera,Minnesota,78.0,78.0
24.,Tran/Kleiter,Alberta,75.8,75.8
25.,Morrison/Lammie,Great Britain,69.1,69.1
26.,Gionest/Desjardins,Quebec,67.5,67.5
27.,Bear/Oldenburg,Minnesota,62.0,62.0
28.,Neil/McDonald,Ontario,58.9,58.9
29.,Wrana/Wrana,Sweden,57.0,57.0
30.,Cotter/Cotter,British Columbia,56.6,56.6
31.,Armstrong/Griffith,British Columbia,56.5,56.5
32.,Lott/Lott,Manitoba,51.0,51.0
33.,Bouchard/Charest,Quebec,50.4,50.4
34.,Westman/Ahlberg,Sweden,50.3,50.3
35.,Adams/Robichaud,New Brunswick,50.0,50.0
36.,Smith/Thomson,Ontario,49.9,49.9
37.,Anderson-Heide/Richardson,Minnesota,49.8,49.8
38.,Walczak/Augustyniak,Poland,48.0,48.0
39.,Han/Wang,China,47.6,47.6
40.,Hasselborg/Eriksson,Sweden,47.3,47.3
41.,Tremblay/Lanoue,Quebec,45.4,45.4
42.,Gagne/Morissette,Quebec,44.0,44.0
43.,Sinclair/Brydone,Scotland,41.3,41.3
44.,Holterman/Holtermann,Denmark,39.8,39.8
45.,Daly/Violette,Minnesota,38.4,38.4
46.,Sluchinski/Sluchinski,Alberta,38.3,38.3
47.,Zelingrova/Chabicovsky,Czechia,38.3,38.3
48.,Kim/Seong,Korea,38.1,38.1
49.,Powers/Saunders,Nova Scotia,37.5,37.5
50.,Spruit/Spruit,Ontario,37.0,37.0
51.,Ford/Campbell,Ontario,37.0,37.0
52.,Springer/Springer,Saskatchewan,36.0,36.0
53.,Hamilton/Hamilton,Wisconsin,35.3,35.3
54.,Arbuckle/Macdonell,Manitoba,34.9,34.9
55.,Papley/Van Amsterdam,Alberta,34.4,34.4
56.,Yang/Tian,China,34.3,34.3
57.,Moores/Wheeler,Colorado,33.7,33.7
58.,Weeks/Steep,Ontario,33.6,33.6
59.,Gamble/Kalthoff,Saskatchewan,33.6,33.6
60.,Just/Cherpin,Saskatchewan,32.9,32.9
61.,Henderson/Hardie,Great Britain,32.3,32.3
62.,Mackenzie/Middleton,British Columbia,32.1,32.1
63.,Fellmann/Kovalchuk,Quebec,32.0,32.0
64.,Otaegi/Unanue,Spain,31.6,31.6
65.,Laplante/Gibeau,Quebec,31.4,31.4
66.,Bailey/Sipura,Ontario,30.4,30.4
67.,Maheux/Maheux,Quebec,30.3,30.3
68.,Yildiz/Cakir,Turkiye,28.7,28.7
69.,Woo/Wenzek,British Columbia,28.5,28.5
70.,McGovern/Nathan,Ontario,26.5,26.5
71.,Paulova/Paul,Czechia,26.1,26.1
72.,Dong/Fei,China,25.9,25.9
73.,Immonen/Sipila,Finland,25.4,25.4
74.,Berset/Hoesli,Switzerland,24.8,24.8
75.,Oestgaard/Eriksen,Norway,24.6,24.6
76.,Reese-Hansen/Chester,British Columbia,24.4,24.4
77.,Parmiter/Burgess,New Brunswick,24.4,24.4
78.,Brunton/Horgan,Ontario,24.4,24.4
79.,Roach/Gilbert,Ontario,23.8,23.8
80.,Davie/Watt,Scotland,23.4,23.4
81.,McMillan/Bryce,Scotland,23.4,23.4
82.,Schwaller/Schwaller,Switzerland,23.3,23.3
83.,Weldon/Franey,Colorado,21.8,21.8
84.,Sanscartier/Caron,Quebec,21.5,21.5
85.,Ford/Krowchuk,Ontario,21.2,21.2
86.,Burghout/Thompson,Ontario,21.0,21.0
87.,Riley/Mullen,Quebec,20.6,20.6
88.,Ouellet/Rousseau,Quebec,19.3,19.3
89.,Baker/Lott,Manitoba,19.0,19.0
90.,Roth/Nernberger,Wisconsin,18.8,18.8
91.,Smith/Smith,New Zealand,17.8,17.8
92.,Munro/Whyte,Great Britain,17.4,17.4
93.,Lyburn/Lyburn,Manitoba,17.3,17.3
94.,Tiuliakova/Totzek,Germany,17.3,17.3
95.,de Val/Magnusson,Sweden,16.5,16.5
96.,Cottenoir/Martel,Quebec,16.3,16.3
97.,Gaidule/Buncis,Latvia,16.0,16.0
98.,Kitazawa/Usui,Japan,15.8,15.8
99.,Kiemele/Singer,Ontario,15.6,15.6
100.,Wiseman/Smith,Newfoundland / Labrador,15.0,15.0
101.,Sweeting/Kennedy,Alberta,15.0,15.0
102.,Scalesse/Pimpini,Italy,15.0,15.0
103.,Schmidt/Schmidt,Denmark,15.0,15.0
104.,Sturmay/Kleibrink,Alberta,14.8,14.8
105.,Heggestad/Heggestad,Ontario,14.3,14.3
106.,Butler/Butler,Ontario,14.1,14.1
107.,Nordbye/Hostmaelingen,Norway,14.0,14.0
108.,Suuripaa/Rantamaki,Finland,13.7,13.7
109.,Mulville/Hale,Ontario,13.5,13.5
110.,DiBaggio/Visnich,Ohio,13.5,13.5
111.,Cheal/Cheal,Quebec,13.5,13.5
112.,Geving/Shuster,Minnesota,13.5,13.5
113.,Mallett/Jackson,Ontario,12.2,12.2
114.,Schoell/Sutor,Germany,11.9,11.9
115.,Kjaerland/Lilleboe,Norway,11.5,11.5
116.,Podoll/Parry,North Dakota,11.3,11.3
117.,St-Georges/Asselin,Quebec,11.0,11.0
118.,Madisson/Kukner,Estonia,11.0,11.0
119.,Kreviazuk/Mathers,Ontario,10.6,10.6
120.,Raniseth/Crough,Alberta,10.5,10.5
121.,Kaare/Padama,Estonia,10.5,10.5
122.,Gargul/Girard,Montreal,10.1,10.1
123.,McGillivray/Cowan,British Columbia,10.1,10.1
124.,Gargul/Girard,Quebec,10.1,10.1
125.,Scebbi/Scebbi,Ohio,10.1,10.1
126.,Beaulieu/Pelletier,Quebec,10.1,10.1
127.,Liscumb/Liscumb,Ontario,10.1,10.1
128.,Zardini Lacedelli/De Zanna,Italy,10.0,10.0
129.,Roenning/Daehlin,Norway,9.9,9.9
130.,Lamontagne/LaMontagne,Saskatchewan,9.8,9.8
131.,Wendling/Paral,Wisconsin,9.4,9.4
132.,Wynter/Sallaj,New Brunswick,9.3,9.3
133.,Billo/Martin,Quebec,9.0,9.0
134.,Skrlik/Harty,Alberta,9.0,9.0
135.,Mueller/Seiwald,Austria,8.8,8.8
136.,Hussain/Husain,Guyana,8.8,8.8
137.,Mitchell/Johnston,Scotland,8.3,8.3
138.,Lipinska/Stych,Poland,8.3,8.3
139.,Wilson/Dow,Ontario,8.1,8.1
140.,Novikova/Jakobson,Estonia,8.0,8.0
141.,Cinnamon/Davies,Alberta,8.0,8.0
142.,Hauser/Sommervold,Norway,7.9,7.9
143.,Tanaka/Sato,Japan,7.9,7.9
144.,Barber/Heidt,Saskatchewan,7.9,7.9
145.,Forbregd/Harstad,Norway,7.9,7.9
146.,Lang/Lang,Saskatchewan,7.7,7.7
147.,Robertson/Robertson,Ontario,7.5,7.5
148.,Feldkamp/Villard,Ontario,7.5,7.5
149.,Kononenko/Shchur,Ukraine,7.5,7.5
150.,Holt/Brenden,North Dakota,7.5,7.5
151.,Neary/Hancock,Newfoundland / Labrador,7.5,7.5
152.,McCutcheon/Duizer,Ontario,7.5,7.5
153.,Armstrong/Woods,Ontario,7.5,7.5
154.,Gates/Montpellier,Northern Ontario,7.5,7.5
155.,McGillivray/Croteau,British Columbia,7.3,7.3
156.,Kalk/MacAlpine,Alberta,7.3,7.3
157.,Nilsson/Olofsson,Sweden,7.0,7.0
158.,Sykorova/Sykora,Slovakia,7.0,7.0
159.,Tian/Tian,China,6.9,6.9
160.,Senneker/Gleaton,Michigan,6.9,6.9
161.,Turbow/Kot,Colorado,6.8,6.8
162.,Farkova/Jakl,Czechia,6.8,6.8
163.,Paquette/Daoust,Northern Ontario,6.7,6.7
164.,Chou/Liu,Chinese Taipei,6.6,6.6
165.,Kraft/Kraft,North Dakota,6.4,6.4
166.,Dudt/Dudt,Pennsylvania,6.4,6.4
167.,Hagenbuch/Laufer,Illinois,6.4,6.4
168.,Nickel/Nickel,Wisconsin,6.4,6.4
169.,Godin/Charbonneau,Quebec,6.4,6.4
170.,Johnson/Podhradsky,Minnesota,6.3,6.3
171.,Mallett/Meister,British Columbia,6.2,6.2
172.,Henry/Gordon,Manitoba,6.0,6.0
173.,Trembath/Grassie,Manitoba,6.0,6.0
174.,Chao/Fowler,Illinois,6.0,6.0
175.,Tonoli/Gosgens,Netherlands,6.0,6.0
176.,Farwell/Rose,Colorado,6.0,6.0
177.,Lee/Jang,Korea,6.0,6.0
178.,Wiksten/Wiksten,Denmark,6.0,6.0
179.,Damen/Van Amsterdam,Alberta,5.7,5.7
180.,Kalocsai-van Dorp/Kalocsay,Hungary,5.6,5.6
181.,Ostrowski/Botterill,Minnesota,5.4,5.4
182.,Workin/Workin,North Dakota,5.4,5.4
183.,Richards/Tao,Alberta,5.4,5.4
184.,Dubberstein/Malvar,Philippines,5.3,5.3
185.,Mayra/Kirby,Michigan,5.3,5.3
186.,Kashiwagi/Nisato,Japan,5.3,5.3
187.,Hung/Chang,Hong Kong,5.3,5.3
188.,Dubberstein/Malvar,Philippines,5.3,5.3
189.,Ueno/Yamaguchi,Japan,5.3,5.3
190.,Johnston/Johnston,New Brunswick,5.1,5.1
191.,Brissette/Fadden,British Columbia,5.1,5.1
192.,Headley/Headley,Ontario,5.1,5.1
193.,Munroe/Leong,Alberta,5.1,5.1
194.,Martins Ethier/Santos,Portugal,5.0,5.0
195.,Forget/Robert,Ontario,5.0,5.0
196.,Ozeki/Aoki,Japan,4.8,4.8
197.,Johnson/Hebert,Minnesota,4.8,4.8
198.,Peebo/Andre,Estonia,4.7,4.7
199.,Schweitzer/Hagberg,Minnesota,4.7,4.7
200.,Joo/Karasz,Hungary,4.7,4.7
201.,Fountain/Fountain,Colorado,4.5,4.5
202.,Ouimet/Ouimet,Ontario,4.5,4.5
203.,Cull/Garand,Quebec,4.5,4.5
204.,Jensen/Deng,British Columbia,4.5,4.5
205.,Smith/Bonin-Ducharme,Ontario,4.5,4.5
206.,Vilandt/Jensen,Denmark,4.5,4.5
207.,Szurmay/Ferenci,Hungary,4.4,4.4
208.,Tanguay/Robichaud,Quebec,4.3,4.3
209.,Gourianova/Vidaurrazaga,Massachusetts,4.3,4.3
210.,Wisniewski-Starkell/Wills,Saskatchewan,4.3,4.3
211.,Constantini/Zisa,Italy,4.3,4.3
212.,Duff/Craik,Scotland,4.1,4.1
213.,Sasseville/Hudon,Quebec,4.1,4.1
214.,Cihlarova/Macek,Czechia,4.1,4.1
215.,Hausstatter/Svorkmo-Lundberg,Norway,4.1,4.1
216.,Paisley/Spielman,Wisconsin,4.0,4.0
217.,Farrell/Thurston,Minnesota,4.0,4.0
218.,Stella/Carle,Colorado,3.9,3.9
219.,Funaki/Kamada,Japan,3.9,3.9
220.,Onodera/Maeda,Japan,3.9,3.9
221.,Roy/Sonier,Quebec,3.9,3.9
222.,Persinger/Casper,Alaska,3.8,3.8
223.,Smith/Mosher,Nova Scotia,3.8,3.8
224.,Wahlin/Nygren,Sweden,3.8,3.8
225.,Strouse/Fenner,Michigan,3.8,3.8
226.,Rivett/Rivett,Quebec,3.8,3.8
227.,Jackson/McCrady,British Columbia,3.8,3.8
228.,Bookhout/Wiza,Wisconsin,3.6,3.6
229.,Hueppi/Weiss,Switzerland,3.6,3.6
230.,Belway/Belway,British Columbia,3.4,3.4
231.,Myers/Lerner,Illinois,3.4,3.4
232.,Rychiger/Gloor,Switzerland,3.4,3.4
233.,Kawleski/Kauffman,Minnesota,3.4,3.4
234.,Barclay/Hanson,New Brunswick,3.4,3.4
235.,Nilhamn/Kuosmanen,Finland,3.4,3.4
236.,Smith/Hood,New Zealand,3.3,3.3
237.,Santti/Santti,Finland,3.2,3.2
238.,Pifer/Pifer,North Carolina,3.1,3.1
239.,Yachiw-Omelian/Raymond,Saskatchewan,3.0,3.0
240.,Gregori/Langus,Slovenia,3.0,3.0
241.,Turmann/Kalvik,Estonia,3.0,3.0
242.,Barron/Wilson,Ireland,3.0,3.0
243.,Stolt/Stolt,Minnesota,3.0,3.0
244.,Jurkute/Rymeikis,Lithuania,3.0,3.0
245.,Kuzyk/Gamble,Saskatchewan,3.0,3.0
246.,Waltenberger/Jaeger,Germany,3.0,3.0
247.,Englot/Schneider,Saskatchewan,3.0,3.0
248.,Rhyme/Smith,Minnesota,2.8,2.8
249.,Bush/Philips,Pennsylvania,2.8,2.8
250.,Moberg/Moberg,Sweden,2.8,2.8
251.,Fisher/Kolomaya,British Columbia,2.8,2.8
252.,Barone/Zass,Latvia,2.8,2.8
253.,Gale Seixeiro/Seixeiro,British Columbia,2.7,2.7
254.,Cottrill/Cottrill,Ontario,2.6,2.6
255.,Nordbye/Hostmaelingen,Norway,2.6,2.6
256.,Sherry/Sherry,Illinois,2.6,2.6
257.,Moskalenko/Suhak,Ukraine,2.6,2.6
258.,Tomabechi/Tomabechi,Japan,2.6,2.6
259.,Tsuruga/Abe,Japan,2.6,2.6
260.,Iskiw/Hlushak,Alberta,2.6,2.6
261.,Rykove/Rykov,Lithuania,2.6,2.6
262.,Hara/Niino,Japan,2.6,2.6
263.,Tsuchiya/Okamura,Japan,2.6,2.6
264.,Wheatcroft/Naugler,Alberta,2.6,2.6
265.,Barone/Nikolov,Latvia,2.6,2.6
266.,Nedohin/Hiebert,Alberta,2.6,2.6
267.,Howald/Lachat-Couchepin,Switzerland,2.4,2.4
268.,Fortin/Descoteaux,Quebec,2.4,2.4
269.,Rubenzer/Dobbs,Wisconsin,2.4,2.4
270.,Petersen/Becker,New Zealand,2.3,2.3
271.,Serra/Tompkins,Mexico,2.3,2.3
272.,Chaudhari/Raju,India,2.2,2.2
273.,Danahey/Allain,Colorado,2.1,2.1
274.,Kiiskinen/Kiiskinen,Finland,2.1,2.1
275.,Hallstroem/Patz,Sweden,2.1,2.1
276.,Jackson/Montgomery,Ontario,2.1,2.1
277.,Shipmaker/Shinde,Ontario,2.1,2.1
278.,Vandenborre/Lister,New Brunswick,1.9,1.9
279.,Henwood/Maude,Ontario,1.9,1.9
280.,Daley/Vainio,Ontario,1.9,1.9
281.,Walsh/Simin,California,1.9,1.9
282.,Harrison/Allen,Ontario,1.9,1.9
283.,Vaydich/McMullin,North Dakota,1.9,1.9
284.,Kenney/Scimia,Connecticut,1.9,1.9
285.,Becker/Becker,New Zealand,1.8,1.8
286.,Kinney/Walker,New Zealand,1.8,1.8
287.,Sonkham/Jearateerawit,Thailand,1.7,1.7
288.,Coleman/Robertson,California,1.7,1.7
289.,Beauchemin/Amyotte,Quebec,1.7,1.7
290.,Carlson/Carlson,Wisconsin,1.7,1.7
291.,Taylor/Gervais,Saskatchewan,1.7,1.7
292.,Kim/Luu,Ontario,1.7,1.7
293.,Blackburn/Fortin,Quebec,1.7,1.7
294.,Bradshaw/Kizlyk,Colorado,1.5,1.5
295.,Sobering/Sobering,Colorado,1.5,1.5
296.,Silversides/Tessier,Saskatchewan,1.5,1.5
297.,Potter/Shimko,Ohio,1.5,1.5
298.,Hackett/Hackett,Utah,1.5,1.5
299.,Opel/Opel,England,1.5,1.5
300.,Szeliga-Frynia/Szewczyk,Poland,1.5,1.5
301.,Smith-Windsor/Shillington,Saskatchewan,1.5,1.5
302.,Konkol/Zalewski,Poland,1.5,1.5
303.,Oblander/Oblander,Ohio,1.5,1.5
304.,Radounikli/Arampatzis,Greece,1.5,1.5
305.,Kruzer/Gould,North Carolina,1.5,1.5
